No,crop_type,soil_type,month,seed_rate,fertilizer_type,fertilizer_amt,o_fertilizer_type,o_fertilizer_amt,manure_type,manure_amt,insecticide_amt,herbicide_amt,address,temp,rate
1,rainy paddy,ferriasol ,6,35,NPK,100,compound,50,feces,15,60,90,Bago,27,80
2,rainy paddy,ferriasol ,6,36,NPK,120,Compound,50,feces,15,60,90,Bago,27,80
3,rainy paddy,ferriasol ,6,35,NPK,150,Compound,50,feces,15,60,90,Bago,27,85
4,rainy paddy,ferriasol ,6,38,NPK,150,Compound,50,feces,15,60,90,Bago,27,85
5,rainy paddy,ferriasol ,6,40,NPK,100,Compound,50,feces,15,60,90,Bago,27,85
6,rainy paddy,ferriasol ,6,45,NPK,100,Compound,50,feces,,44,90,Bago,27,85
7,rainy paddy,ferriasol ,6,40,NPK,100,Compound,50,Feces,,44,90,Bago,25,90
8,rainy paddy,ferriasol ,6,45,NPK,150,COMPOUND,50,Feces,15,44,90,Bago,25,90
9,rainy paddy,ferriasol ,6,45,NPK,150,COMPOUND,50,fEces,15,44,60,Bago,25,90
10,rainy paddy,ferriasol ,6,45,NPK,120,COMPOUND,50,F eces,15,44,60,Bago,25,80
11,rainy paddy,ferriasol ,6,35,npk,120,COMPOUND,50,Feces,15,36,60,Bago,25,80
12,rainy paddy,ferriasol ,6,3,compound,50,npk,120,Feces,15,36,60,Bago,29,80
13,rainy paddy,ferriasol ,6,35,compound,50,npk,150,Feces,20,36,60,Bago,29,80
14,rainy paddy,ferriasol ,6,40,npk,100,Compound,50,Feces,20,36,60,Bago,29,80
15,rainy paddy,ferriasol ,6,48,compound,50,npk,150,Feces,20,36,0,Bago,29,85
16,rainy paddy,ferriasol ,6,38,Npk,100,ComPound,50,,,36,0,Bago,29,85
17,rainy paddy,ferriasol ,6,45,Npk,100,ComPound,50,,,18,0,Bago,29,85
18,rainy paddy,ferriasol ,6,45,Npk,1000,ComPound,50,,,18,0,Bago,29,85
19,rainy paddy,ferriasol ,6,40,NPK,130,ComPound,50,Feces,15,18,0,Bago,29,85
20,rainy paddy,ferriasol ,6,40,NPK,130,Cmpd,50,Feces,15,18,0,Bago,29,85
21,rainy paddy,ferriasol ,6,40,nPK,130,Compund,50,Feces,15,18,0,Bago,29,90
22,rainy paddy,ferriasol ,6,38,nPK,100,Compund,50,Feces,20,18,0,Bago,29,90
23,rainy paddy,ferriasol ,6,38,nPK,100,Compund,50,Feces,20,18,0,Bago,28,90
24,rainy paddy,ferriasol ,6,38,NpK,100,Compund,50,Feces,20,62,80,Bago,28,90
25,rainy paddy,ferriasol ,6,45,NpK,100,Compund,50,feces,20,62,80,Bago,28,90
26,rainy paddy,ferriasol ,6,45,NpK,150,COMPOUND,50,feces,115,62,80,Bago,28,90
27,rainy paddy,ferriasol ,6,45,NpK,150,COMPOUND,50,feces,15,62,80,Bago,28,100
28,rainy paddy,ferriasol ,6,40,,150,COMPOUND,50,feces,15,62,90,Bago,28,100
29,rainy paddy,ferriasol ,6,40,,150,COMPOUND,50,feces,,62,90,Bago,28,100
30,rainy paddy,ferriasol ,6,300,Npk,130,COMPOUND,50,feces,20,62,90,Bago,28,100
31,rainy paddy,ferriasol ,6,38,Npk,130,COMPOUND,50,feces,20,62,90,Bago,28,100
32,rainy paddy,ferriasol ,6,34,Npk,130,COMPOUND,50,feces,20,62,90,Bago,28,100
33,rainy paddy,ferriasol ,6,48,Npk,130,Compoun d,50,feces,20,62,90,Bago,28,100
34,rainy paddy,ferriasol ,6,50,Npk,150,Compoun d,50,feces,20,62,90,Bago,27,100
35,summer paddy,ferriasol ,11,35,NPK,150,COMPOUND,50,,,62,0,Bago,27,95
36,summer paddy,ferriasol ,11,35,NPK,150,COMPOUND,50,,0,62,0,Bago,28,95
37,summer paddy,ferriasol ,11,35,NPK,120,COMPOUND,50,feces,0,62,0,Bago,28,95
38,summer paddy,ferriasol ,11,35,npk,120,COMPOUND,50,feces,0,62,90,Bago,28,95
39,summer paddy,ferriasol ,11,35,compound,50,npk,100,feces,0,62,90,Bago,28,95
40,summer paddy,ferriasol ,11,35,compound,50,npk,100,feces,0,62,90,Bago,28,95
41,summer paddy,ferriasol ,11,40,npk,100,Compound,50,feces,0,70,90,Bago,26,100
42,summer paddy,ferriasol ,11,40,compound,50,npk,,feces,15,70,90,Bago,26,100
43,summer paddy,ferriasol ,11,40,Npk,120,ComPound,,,,62,90,Bago,26,100
44,summer paddy,ferriasol ,11,40,Npk,120,ComPound,,,,62,90,Bago,26,100
45,summer paddy,ferriasol ,11,40,Npk,120,COMPOUND,50,feces,15,62,90,Bago,28,100
46,summer paddy,ferriasol ,11,40,NPK,120,COMPOUND,50,feces,15,62,95,Bago,28,100
47,summer paddy,ferriasol ,11,40,NPK,120,COMPOUND,50,feces,15,70,95,Bago,28,100
48,summer paddy,ferriasol ,11,40,NPK,150,COMPOUND,50,feces,15,70,95,Bago,28,110
49,summer paddy,ferriasol ,11,40,NPK,150,npk,120,feces,15,62,95,Bago,28,110
50,summer paddy,ferriasol ,11,35,NPK,150,npk,120,,,62,950,Bago,28,110
51,summer paddy,ferriasol ,11,35,npk,150,Compound,50,feces,0,62,950,Bago,27,110
52,summer paddy,ferriasol ,11,35,compound,1000,npk,150,feces,0,62,950,Bago,27,110
53,summer paddy,ferriasol ,11,35,compound,5000,ComPound,50,feces,0,70,80,Bago,27,105
54,summer paddy,ferriasol ,11,35,npk,130,ComPound,50,feces,0,70,80,Bago,27,105
55,summer paddy,ferriasol ,11,35,compound,50,npk,120,feces,0,44,0,Bago,27,105
56,rainy paddy,fluvisols,6,48,NPK,75,Compound,50,biocomposer,1,60,80,Ayeyarwady,29,50
57,rainy paddy,fluvisols,6,48,NPK,75,Compound,50,biocomposer,1,60,80,Ayeyarwady,29,50
58,rainy paddy,fluvisols,6,48,NPK,75,Compound,50,biocomposer,1,60,80,Ayeyarwady,29,50
59,rainy paddy,fluvisols,6,48,NPK,75,Compound,50,biocomposer,1,60,80,Ayeyarwady,29,50
60,rainy paddy,fluvisols,6,48,NPK,75,Compound,50,biocomposer,1.5,60,80,Ayeyarwady,29,50
61,rainy paddy,fluvisols,6,50,NPK,75,Compound,,biocomposer,1.5,60,80,Ayeyarwady,29,70
62,rainy paddy,Fluvisols,6,50,NPK,75,Compound,,biocomposer,1.5,60,80,Ayeyarwady,30,70
63,rainy paddy,Fluvisols,6,50,NPK,75,Compound,500,,1.5,55,80,Ayeyarwady,30,70
64,rainy paddy,Fluvisols,6,50,NPK,75,Compound,500,Biocomposer,150,55,80,Ayeyarwady,30,70
65,rainy paddy,Fluvisols,6,50,NPK,75,Compound,45,Biocomposer,150,55,75,Ayeyarwady,35,70
66,rainy paddy,Fluvisols,6,48,NPK,75,Compound,500,Biocomposer,150,55,75,Ayeyarwady,35,80
67,rainy paddy,Fluvisols,6,48,NPK,75,Compound,,Biocomposer,1,55,75,Ayeyarwady,35,80
68,rainy paddy,Fluvisols,6,48,NPK,75,compound,50,BIOCOMPOSER,1,55,75,Ayeyarwady,35,80
69,rainy paddy,F luvisols,6,48,NPK,75,c ompound,50,BIOCOMPOSER,1,55,75,Ayeyarwady,35,80
70,rainy paddy,F luvisols,6,48,NPK,75,cOmpound,50,BIOCOMPOSER,1,62,75,Ayeyarwady,35,45
71,rainy paddy,F luvisols,6,48,NPK,75,compound,50,BIOCOMPOSER,1.5,62,75,Ayeyarwady,35,45
72,rainy paddy,F luvisols,6,50,NPK,75,compound,50,BIOCOMPOSER,1.5,62,80,Ayeyarwady,35,45
73,rainy paddy,fluvisols,6,500,NPK,75,compound,50,biocomposer,1.5,62,80,Ayeyarwady,32,45
74,rainy paddy,fluvisols,6,50,NPK,75,compound,50,biocomposer,1.5,60,80,Ayeyarwady,32,70
75,rainy paddy,fluvisols,6,50,NPK,75,compound,50,biocomposer,1.5,60,80,Ayeyarwady,32,70
76,rainy paddy,fluvisols,6,50,NPK,75,compound,50,biocomposer,1.5,60,80,Ayeyarwady,32,70
77,rainy paddy,fluvisols,6,50,NPK,75,compound,50,biocomposer,1.5,60,80,Ayeyarwady,32,70
78,summer paddy,fluvisols,11,32,NPK,180,compound,50,biocomposer,1,62,80,Ayeyarwady,32,100
79,summer paddy,fluvisols,11,32,NPK,180,compound,50,biocomposer,1,62,80,Ayeyarwady,32,100
80,summer paddy,fluvisols,11,32,npk,180,compound,50,biocomposer,1,62,80,Ayeyarwady,32,100
81,summer paddy,fluvisols,11,32,Npk,180,compound,50,biocomposer,1,62,80,Ayeyarwady,32,90
82,summer paddy,fluvisols,11,32,NPK,185,compound,50,biocomposer,1,62,80,Ayeyarwady,32,90
83,summer paddy,fluvisols,11,32,npk,185,compound,50,biocomposer,1,62,80,Ayeyarwady,32,90
84,summer paddy,fluvisols,11,32,npk,185,compound,50,biocomposer,1,62,75,Ayeyarwady,28,90
85,summer paddy,fluvisols,11,32,npk,185,compound,0,biocomposer,,60,75,Ayeyarwady,28,95
86,summer paddy,fluvisols,11,32,npk,190,Compound,0,BIOcomposer,,60,75,Ayeyarwady,28,95
87,summer paddy,fluvisols,11,30,npk,190,COmpound,0,BIOcomposer,1.5,60,75,Ayeyarwady,28,95
88,summer paddy,fluvisols,11,30,npk,190,Compound,0,BIOcomposer,1.5,60,75,Ayeyarwady,28,95
89,summer paddy,fluvisols,11,30,npk,190,Compound,,BIOcomposer,1.5,60,75,Ayeyarwady,28,80
90,summer paddy,fluvisols,11,30,npk,190,Compound,,BIOcomposer,1.5,55,75,Ayeyarwady,29,80
91,summer paddy,fluvisols,11,30,npk,195,Compound,50,BIOcomposer,1.5,55,80,Ayeyarwady,29,80
92,summer paddy,fluvisols,11,30,npk,195,Compound,50,BIOcomposer,1.5,55,80,Ayeyarwady,29,80
93,summer paddy,fluvisols,11,30,NPK,195,Compound,50,biocomposer,1.5,55,80,Ayeyarwady,29,85
94,summer paddy,fluvisols,11,32,NPK,195,Cmpd,50,biocomposer,,55,80,Ayeyarwady,29,85
95,summer paddy,fluvisols,11,32,NPK,195,Cmpd,50,biocomposer,1,58,80,Ayeyarwady,29,85
96,summer paddy,fluvisols,11,32,NPK,200,Cmpd,50,biocomposer,1,58,80,Ayeyarwady,29,70
