crop_type,soil_type,month,seed_rate,fertilizer_type,fertilizer_amt,o_fertilizer_type,o_fertilizer_amt,manure_type,manure_amt,insecticide_amt,herbicide_amt,address,temp,rate,month_ismissing,seed_rate_ismissing,fertilizer_amt_ismissing,o_fertilizer_amt_ismissing,manure_amt_ismissing,temp_ismissing,fertilizer_type_ismissing,manure_type_ismissing
1,1,0,35,1,100,0,50,1,15,60,90,1,27,80,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,1,0,36,1,120,0,50,1,15,60,90,1,27,80,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,1,0,35,1,150,0,50,1,15,60,90,1,27,85,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,1,0,38,1,150,0,50,1,15,60,90,1,27,85,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,1,0,40,1,100,0,50,1,15,60,90,1,27,85,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,1,0,45,1,100,0,50,1,1,44,90,1,27,85,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1,1,0,40,1,100,0,50,1,1,44,90,1,25,90,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1,1,0,45,1,150,0,50,1,15,44,90,1,25,90,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,1,0,45,1,150,0,50,1,15,44,60,1,25,90,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,1,0,45,1,120,0,50,1,15,44,60,1,25,80,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,1,0,35,1,120,0,50,1,15,36,60,1,25,80,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,1,0,3,0,50,1,120,1,15,36,60,1,29,80,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
